categoria,pregunta,respuesta_correcta,opcion_1,opcion_2,opcion_3
"Arte","¿Quién pintó la 'Mona Lisa'?","Leonardo da Vinci","Vincent van Gogh","Pablo Picasso","Miguel Ángel"
"Arte","¿A qué movimiento artístico pertenece Salvador Dalí?","Surrealismo","Cubismo","Impresionismo","Barroco"
"Arte","¿Quién es el autor de la escultura 'El Pensador'?","Auguste Rodin","Miguel Ángel","Donatello","Gian Lorenzo Bernini"
"Arte","¿Qué famoso pintor holandés se cortó una parte de la oreja?","Vincent van Gogh","Rembrandt","Johannes Vermeer","Frans Hals"
"Arte","¿Quién pintó el techo de la Capilla Sixtina?","Miguel Ángel","Rafael","Leonardo da Vinci","Tiziano"
"Arte","¿Cuál de estas obras fue pintada por Pablo Picasso como protesta contra la guerra?","Guernica","Las señoritas de Aviñón","El viejo guitarrista ciego","Los tres músicos"
"Arte","¿Qué es el 'sfumato', técnica perfeccionada por Leonardo da Vinci?","Una técnica para difuminar los contornos","Un tipo de escultura","Un pigmento de color azul","Un estilo arquitectónico"
"Arte","¿Quién es el arquitecto de la Sagrada Familia en Barcelona?","Antoni Gaudí","Frank Lloyd Wright","Le Corbusier","Zaha Hadid"
"Arte","¿Qué artista es famoso por sus 'latas de sopa Campbell'?","Andy Warhol","Roy Lichtenstein","Jackson Pollock","Keith Haring"
"Arte","¿Cómo se llama la famosa escultura de una mujer sin brazos exhibida en el Louvre?","La Venus de Milo","La Victoria de Samotracia","Laocoonte y sus hijos","El David"
"Arte","¿Qué movimiento artístico se caracteriza por el uso de puntos de color para formar una imagen?","Puntillismo","Impresionismo","Fauvismo","Expresionismo"
"Arte","¿Quién pintó 'La noche estrellada'?","Vincent van Gogh","Claude Monet","Edvard Munch","Paul Cézanne"
"Arte","¿Cuál es el nombre del famoso cuadro de Edvard Munch que representa una figura angustiada?","El Grito","La Ansiedad","La Desesperación","Melancolía"
"Arte","¿Qué artista del Renacimiento es famoso por sus detallados grabados y xilografías?","Albrecht Dürer","Jan van Eyck","Hieronymus Bosch","Pieter Brueghel el Viejo"
"Arte","¿En qué museo se encuentra la 'Mona Lisa'?","Museo del Louvre","Museo del Prado","Galería Uffizi","Museo Británico"
"Arte","¿Quién pintó 'La última cena'?","Leonardo da Vinci","Rafael Sanzio","Sandro Botticelli","Miguel Ángel"
"Arte","¿Qué movimiento artístico buscaba capturar la luz y el instante, a menudo pintando al aire libre?","Impresionismo","Expresionismo","Barroco","Romanticismo"
"Arte","¿De qué material está hecha la famosa escultura 'David' de Miguel Ángel?","Mármol","Bronce","Granito","Madera"
"Arte","¿Qué artista español es considerado el padre del Cubismo?","Pablo Picasso","Salvador Dalí","Joan Miró","Francisco de Goya"
"Arte","¿En qué museo de Madrid se encuentra el cuadro 'Las meninas' de Velázquez?","Museo del Prado","Museo Reina Sofía","Museo Thyssen-Bornemisza","Museo Sorolla"
"Arte","¿Qué pintor postimpresionista es famoso por sus vibrantes autorretratos y paisajes como 'La noche estrellada'?","Vincent van Gogh","Paul Gauguin","Paul Cézanne","Georges Seurat"
"Arte","¿Cuál de estos artistas NO es del Renacimiento italiano?","Rembrandt","Leonardo da Vinci","Miguel Ángel","Rafael"
"Arte","¿Qué es el 'claroscuro'?","Una técnica de pintura que usa fuertes contrastes entre luz y sombra","Un tipo de escultura griega","Un estilo arquitectónico","Un pigmento rojo"
"Arte","¿Quién diseñó la cúpula de la Catedral de Florencia?","Filippo Brunelleschi","Donato Bramante","Leon Battista Alberti","Giorgio Vasari"
"Arte","¿Qué artista del Pop Art es famoso por sus serigrafías de Marilyn Monroe?","Andy Warhol","Roy Lichtenstein","Jasper Johns","Robert Rauschenberg"
"Arte","¿Cuál es el nombre de la pintura de Sandro Botticelli que muestra a la diosa del amor sobre una concha?","El nacimiento de Venus","La primavera","Venus y Marte","Palas y el centauro"
"Arte","¿Qué pintor mexicano es famoso por sus autorretratos y su turbulenta vida junto a Diego Rivera?","Frida Kahlo","Remedios Varo","Leonora Carrington","María Izquierdo"
"Arte","¿Qué es un mosaico?","Una obra de arte hecha con pequeñas piezas de vidrio o piedra","Una pintura sobre yeso húmedo","Un grabado en metal","Una escultura en madera"
"Arte","¿Quién pintó 'La persistencia de la memoria', con sus famosos relojes derritiéndose?","Salvador Dalí","René Magritte","Max Ernst","Joan Miró"
"Arte","¿Qué pintor argentino es célebre por sus coloridas obras que retratan el barrio de La Boca?","Benito Quinquela Martín","Antonio Berni","Xul Solar","Lino Spilimbergo"
"Arte","¿Qué estilo arquitectónico se caracteriza por sus arcos apuntados, bóvedas de crucería y vitrales?","Gótico","Románico","Barroco","Neoclásico"
"Arte","¿Cuál de estas famosas obras de arte es una escultura?","La Piedad","La Gioconda","El jardín de las delicias","La ronda de noche"
"Arte","¿Quién es el autor de la famosa serie de grabados 'Los desastres de la guerra'?","Francisco de Goya","Diego Velázquez","El Greco","Bartolomé Esteban Murillo"
"Arte","¿Qué movimiento artístico del siglo XX buscaba expresar el mundo de los sueños y el subconsciente?","Surrealismo","Futurismo","Dadaísmo","Constructivismo"
"Arte","¿En qué ciudad se encuentra el famoso museo MoMA (Museo de Arte Moderno)?","Nueva York","Londres","París","Tokio"
"Arte","¿Qué pintor francés es considerado el líder de los impresionistas?","Claude Monet","Édouard Manet","Pierre-Auguste Renoir","Edgar Degas"
"Arte","¿Qué es una acuarela?","Una técnica de pintura sobre papel con colores diluidos en agua","Una pintura hecha con cera","Un tipo de grabado","Una pintura al temple"
"Arte","¿Quién pintó el cuadro 'El jardín de las delicias', lleno de figuras fantásticas?","El Bosco (Hieronymus Bosch)","Pieter Brueghel el Viejo","Jan van Eyck","Alberto Durero"
"Arte","¿Qué es el 'performance art' o 'arte de acción'?","Un arte donde la acción del artista es la obra en sí","Una escultura cinética","Un mural callejero","Una instalación de video"
"Arte","¿Qué artista es famoso por sus móviles, esculturas colgantes que se mueven con el aire?","Alexander Calder","Marcel Duchamp","Henry Moore","Constantin Brancusi"
"Arte","¿Qué pintor holandés del siglo XVII es maestro en el uso de la luz, como en 'La lechera'?","Johannes Vermeer","Rembrandt van Rijn","Frans Hals","Pieter de Hooch"
"Arte","¿Cuál de estos no es un orden arquitectónico de la Antigua Grecia?","Gótico","Dórico","Jónico","Corintio"
"Arte","¿Qué artista callejero anónimo es famoso por sus grafitis con plantillas y su crítica social?","Banksy","Jean-Michel Basquiat","Keith Haring","Shepard Fairey"
"Arte","¿Quién es el autor de la obra 'La traición de las imágenes', que muestra una pipa con la frase 'Esto no es una pipa'?","René Magritte","Salvador Dalí","Max Ernst","Yves Tanguy"
"Arte","¿Qué es un tríptico?","Una obra de arte dividida en tres paneles","Una escultura de tres figuras","Un poema de tres estrofas","Una técnica de tres colores"
"Arte","¿Qué pintor argentino creó el personaje de Juanito Laguna para denunciar la pobreza?","Antonio Berni","Carlos Alonso","Ricardo Carpani","León Ferrari"
"Arte","¿Qué movimiento artístico se originó en Italia a principios del siglo XX y glorificaba la velocidad y la tecnología?","Futurismo","Cubismo","Suprematismo","Vorticismo"
"Arte","¿Quién pintó el famoso 'retrato del matrimonio Arnolfini'?","Jan van Eyck","Rogier van der Weyden","Hans Holbein el Joven","Albrecht Dürer"
"Arte","¿Qué es el 'Land Art'?","Arte creado en la naturaleza, utilizando materiales del paisaje","Arte hecho con materiales reciclados","Arte digital proyectado en edificios","Esculturas hechas de tierra"
"Arte","¿Cuál de estos artistas fue un famoso escultor del Renacimiento italiano?","Donatello","Tiziano","Tintoretto","Giorgione"
"Arte","¿En qué ciudad se encuentra el museo Guggenheim diseñado por Frank Gehry, famoso por sus formas curvilíneas de titanio?","Bilbao","Nueva York","Venecia","Abu Dabi"
"Arte","¿Qué es la técnica del 'dripping' (goteo), popularizada por Jackson Pollock?","Dejar gotear o chorrear pintura sobre el lienzo","Pintar con los dedos","Usar puntos de color","Raspar la pintura"
"Arte","¿Qué famoso cuadro de Théodore Géricault representa la supervivencia de un naufragio?","La balsa de la Medusa","La Libertad guiando al pueblo","La muerte de Marat","El juramento de los Horacios"
"Arte","¿Qué artista del Art Nouveau es famoso por sus carteles y paneles decorativos de mujeres, como los de Sarah Bernhardt?","Alphonse Mucha","Gustav Klimt","Hector Guimard","Antoni Gaudí"
"Arte","¿Quién fue el escultor del 'Éxtasis de Santa Teresa', una obra maestra del Barroco?","Gian Lorenzo Bernini","Francesco Borromini","Caravaggio","Artemisia Gentileschi"
"Arte","¿Qué artista del Renacimiento es conocido tanto por sus detallados grabados como por sus autorretratos?","Albrecht Dürer","Hans Holbein el Joven","Jan van Eyck","Pieter Brueghel el Viejo"
"Arte","¿Qué movimiento artístico, liderado por Jackson Pollock, se centra en la acción física de pintar?","Expresionismo Abstracto","Minimalismo","Arte Conceptual","Op Art"
"Arte","¿Cuál es el nombre de la famosa pintura de Grant Wood que representa a un granjero con una horquilla?","Gótico estadounidense","La granja","El campo","Tarde de domingo"
"Arte","¿Qué es un fresco?","Una técnica de pintura mural aplicada sobre yeso húmedo","Una escultura tallada en hielo","Un tipo de esmalte para cerámica","Una pintura al óleo muy diluida"
"Arte","¿Qué artista argentino es famoso por su personaje Juanito Laguna, que representa a un niño de una villa miseria?","Antonio Berni","Xul Solar","Benito Quinquela Martín","León Ferrari"
"Arte","¿En qué período artístico se enfatizó el drama, la emoción y el movimiento, como en las obras de Bernini y Caravaggio?","Barroco","Renacimiento","Rococó","Neoclasicismo"
"Arte","¿Quién fue el arquitecto principal de la Basílica de San Pedro en el Vaticano durante el Renacimiento?","Donato Bramante","Miguel Ángel","Rafael Sanzio","Giotto"
"Arte","¿Qué es el 'contrapposto' en la escultura?","Una postura humana con el peso apoyado en una pierna, creando una línea curva","Una técnica para tallar mármol","Un tipo de relieve","Una escultura de una persona sentada"
"Arte","¿Qué pintor es famoso por sus escenas de la vida campesina holandesa en el siglo XVI?","Pieter Brueghel el Viejo","Johannes Vermeer","Rembrandt","Frans Hals"
"Arte","¿Qué es el 'Op Art' (Arte Óptico)?","Un estilo de arte visual que utiliza ilusiones ópticas","Arte hecho con objetos encontrados","Arte que solo existe como una idea","Arte generado por computadora"
"Arte","¿Cuál de estas obras maestras de la arquitectura se encuentra en la India?","El Taj Mahal","La Ópera de Sídney","El Partenón","El Coliseo Romano"
"Arte","¿Qué artista pop usó imágenes de cómics, como puntos Ben-Day, en sus obras?","Roy Lichtenstein","Andy Warhol","Keith Haring","Robert Indiana"
"Arte","¿Qué es una gárgola en la arquitectura gótica?","Una escultura grotesca que funciona como desagüe","Un tipo de vitral","La aguja de una torre","Un arco decorativo"
"Arte","¿Quién pintó 'El juramento de los Horacios', un ícono del Neoclasicismo?","Jacques-Louis David","Eugène Delacroix","Jean-Auguste-Dominique Ingres","Théodore Géricault"
"Arte","¿Qué artista argentino fue un visionario místico que inventó idiomas y juegos en sus pinturas?","Xul Solar","Emilio Pettoruti","Raúl Soldi","Guillermo Kuitca"
"Arte","¿Qué es el 'impasto' en pintura?","Una técnica donde la pintura se aplica en capas gruesas, creando textura","Una técnica de veladuras finas","Mezclar pintura con arena","Pintar sobre una superficie de madera"
"Arte","¿Qué movimiento artístico se rebeló contra la razón y la lógica, abrazando el azar y lo absurdo?","Dadaísmo","Futurismo","Surrealismo","Constructivismo"
"Arte","¿Quién es el autor de la famosa escultura de un hombre de bronce caminando, 'L'Homme qui marche I'?","Alberto Giacometti","Auguste Rodin","Constantin Brancusi","Henry Moore"
"Arte","¿Qué pintor romántico francés pintó 'La Libertad guiando al pueblo'?","Eugène Delacroix","Théodore Géricault","Caspar David Friedrich","J. M. W. Turner"
"Arte","¿Cuál es la característica principal de la arquitectura de Frank Lloyd Wright, como en la 'Casa de la Cascada'?","La integración con la naturaleza (arquitectura orgánica)","El uso de arcos y cúpulas","La decoración excesiva","La simetría perfecta"
"Arte","¿Qué es una xilografía?","Un grabado hecho en una plancha de madera","Un grabado en metal","Una pintura sobre seda","Una escultura en piedra"
"Arte","¿Qué artista estadounidense es famosa por sus pinturas de gran formato de flores y paisajes del suroeste?","Georgia O'Keeffe","Mary Cassatt","Frida Kahlo","Tamara de Lempicka"
"Arte","¿Cuál de estos artistas NO perteneció al movimiento impresionista?","Salvador Dalí","Claude Monet","Pierre-Auguste Renoir","Edgar Degas"
"Arte","¿Qué es el 'Kintsugi'?","El arte japonés de reparar cerámica rota con oro","El arte de la caligrafía japonesa","El arte del arreglo floral japonés","El arte de la papiroflexia"
"Arte","¿Qué artista conceptual es famoso por su obra 'Fuente', que era un urinario firmado?","Marcel Duchamp","Man Ray","Francis Picabia","Kurt Schwitters"
"Arte","¿Quién pintó 'El entierro del conde de Orgaz'?","El Greco","Diego Velázquez","Francisco de Zurbarán","José de Ribera"
"Arte","¿Qué es un capitel en una columna?","La parte superior decorativa de la columna","La base de la columna","El fuste o cuerpo principal","La parte subterránea"
"Arte","¿Qué artista del Realismo es famoso por su provocadora pintura 'El origen del mundo'?","Gustave Courbet","Édouard Manet","Jean-François Millet","Honoré Daumier"
"Arte","¿Qué es el 'Art Déco'?","Un estilo de diseño popular en los años 20 y 30, con formas geométricas y lujosas","Un estilo inspirado en la naturaleza","Un estilo rústico y simple","Un estilo de arte abstracto"
"Arte","¿Qué artista es conocido por sus 'ready-mades', objetos cotidianos presentados como arte?","Marcel Duchamp","Pablo Picasso","Georges Braque","Fernán Léger"
"Arte","¿Cuál de estas es una famosa obra del arquitecto suizo Le Corbusier?","Villa Savoye","La Casa de la Cascada","El Museo Guggenheim de Bilbao","La Ópera de Sídney"
"Arte","¿Qué es el pan de oro?","Láminas muy finas de oro utilizadas para decorar obras de arte","Un tipo de pigmento amarillo","Una técnica de horneado de cerámica","Un pan dulce del Renacimiento"
"Arte","¿Qué pintor noruego es el autor de la icónica obra 'El Grito'?","Edvard Munch","Akseli Gallen-Kallela","Harald Sohlberg","Odd Nerdrum"
"Arte","¿Qué es una 'instalación' en el arte contemporáneo?","Una obra de arte que utiliza un espacio entero como parte de la obra","Una escultura colgada del techo","Un video proyectado en un bucle","Una serie de fotografías"
"Arte","¿Quién fue el principal rival artístico de Miguel Ángel en la Roma del Renacimiento?","Rafael Sanzio","Leonardo da Vinci","Tiziano","Giorgione"
"Arte","¿Qué es la perspectiva atmosférica?","Una técnica para crear sensación de profundidad haciendo que los objetos lejanos parezcan más pálidos y azulados","Una perspectiva con un solo punto de fuga","Dibujar objetos como si se vieran desde el aire","Una pintura del cielo"
"Arte","¿Qué artista estadounidense fue pionero del 'action painting'?","Jackson Pollock","Willem de Kooning","Mark Rothko","Barnett Newman"
"Arte","¿En qué ciudad se encuentra el famoso 'Altar de Pérgamo'?","Berlín","Atenas","Roma","Estambul"
"Arte","¿Qué es un autorretrato?","Un retrato que un artista se hace a sí mismo","Un retrato de un autor famoso","Una biografía pintada","Un retrato sin firma"
"Arte","¿Qué es el 'Rococó'?","Un estilo artístico del siglo XVIII, ornamental y aristocrático, sucesor del Barroco","Un estilo austero y religioso","Un movimiento prerromántico","Un estilo de armadura medieval"
"Arte","¿Qué artista argentina es una figura clave del arte pop y conceptual, famoso por obras como 'La Menesunda'?","Marta Minujín","León Ferrari","Julio Le Parc","Gyula Kosice"
"Arte","¿Qué es la 'sección áurea' o 'proporción divina'?","Una proporción matemática que se encuentra en la naturaleza y el arte, considerada estéticamente agradable","Un tipo de marco dorado","Una regla de composición pictórica","Una fórmula para mezclar colores"
"Arte","¿Qué pintor flamenco es famoso por sus obras detalladas y realistas, como 'El matrimonio Arnolfini'?","Jan van Eyck","Rogier van der Weyden","Hans Memling","El Bosco"
"Arte","¿Qué es el 'ukiyo-e', un género de arte japonés?","Grabados en madera o xilografías","Pinturas en biombos de seda","Esculturas de cerámica","Máscaras de teatro Noh"
"Arte","¿Qué artista es famoso por haber pintado el mismo pajar de heno y la misma catedral en diferentes momentos del día?","Claude Monet","Camille Pissarro","Alfred Sisley","Paul Cézanne"
"Arte","¿Qué es el 'body art'?","Un tipo de arte en el que el cuerpo del artista es el soporte o medio","Pintura de retratos","Escultura de figuras humanas","Tatuajes tradicionales"
"Arte","¿Quién pintó la obra 'La joven de la perla'?","Johannes Vermeer","Rembrandt","Peter Paul Rubens","Anthony van Dyck"
"Arte","¿Qué es el 'cinetismo' o 'arte cinético'?","Arte que contiene movimiento o parece tenerlo","Arte hecho con proyectores de cine","Pintura de escenas de acción","Esculturas de atletas"
"Arte","¿Qué famoso arquitecto acuñó la frase 'la forma sigue a la función'?","Louis Sullivan","Frank Lloyd Wright","Le Corbusier","Walter Gropius"
"Arte","¿Qué es el grafiti?","Una forma de arte visual, generalmente ilegal, pintada en superficies públicas","Un tipo de escritura antigua","Un boceto a lápiz","Una técnica de impresión"
"Arte","¿Qué pintor del Neoclasicismo es famoso por su cuadro 'La muerte de Marat'?","Jacques-Louis David","Jean-Auguste-Dominique Ingres","Antonio Canova","Angelica Kauffman"
"Arte","¿Cuál es el propósito de un boceto?","Un estudio o ensayo rápido para una obra de arte más grande","La versión final de una obra","Una copia de una obra maestra","Un dibujo para niños"
"Arte","¿Qué es la 'Bauhaus'?","Una escuela de arte y diseño alemana que buscaba unificar todas las artes","Un estilo de pintura","Un museo en Berlín","Una marca de pinceles"
"Arte","¿Qué artista es conocido por sus 'Combine paintings', que mezclaban pintura con objetos cotidianos?","Robert Rauschenberg","Jasper Johns","Andy Warhol","Claes Oldenburg"
